DateLocalPort,TimeLocalPort,FlightCode,FlightNumber,Movement,AircraftType,AircraftRegistration,Origin,Destination,FlightType,SeatingCapacity,TotalPassengers,Infants,TransitPax,TransferPax,POSCrew,OnCarriagePax,Exemptions,TotalPaxChargeable
2025-12-09,23:41:29,JQ,8714,L,Bea,Radio.,GAM,BAR,DOM,265,433,24,24,6,0,11,14,210
2025-06-15,03:52:08,JQ,8479,L,Han,Play.,SOR,HER,DOM,187,380,14,24,0,10,27,4,205
2025-11-30,05:47:12,JQ,2136,D,Tal,Day.,MUS,SEN,INT,433,465,41,2,19,7,26,11,58
2025-01-20,13:28:13,JQ,7245,L,Bit,Over.,DOO,YEA,INT,468,128,5,17,15,8,23,14,316
2025-02-06,05:23:57,JQ,3574,D,Gam,But.,A.,SEA,INT,119,388,17,2,24,10,41,12,304
2025-10-07,23:44:42,JQ,2556,L,Do.,Yard.,CAR,NEA,DOM,127,87,13,3,9,7,20,10,236
2025-01-15,16:46:26,JQ,8646,L,Non,Say.,LEA,KIN,DOM,461,34,0,15,19,4,38,8,258
2025-12-04,18:43:17,JQ,2890,L,Get,Glass.,HE.,HIS,DOM,299,124,23,6,8,2,10,10,234
2025-07-16,13:18:08,JQ,8271,L,Cup,Car.,COL,PUS,INT,166,168,1,13,6,8,13,7,412
2025-08-07,14:26:04,JQ,2046,D,Its,Day.,LIF,BED,DOM,402,444,40,14,0,10,7,1,352
2025-04-24,07:08:49,JQ,2633,D,Wal,Water.,HOW,YES,INT,197,259,48,14,19,1,13,16,419
2025-04-07,07:05:59,JQ,5414,L,Wal,Ago.,RIC,WAN,INT,475,173,27,13,8,8,35,15,338
2025-03-10,20:27:03,JQ,2865,D,Hot,Poor.,I.,INT,DOM,433,364,27,25,6,4,34,2,170
2025-04-22,13:45:13,JQ,3017,L,Too,Thing.,ADD,DO.,INT,439,202,9,20,4,5,18,6,121
2025-02-21,18:32:58,JQ,2444,D,Hea,Allow.,FLY,TYP,INT,228,421,23,18,6,9,31,2,357
2025-07-03,17:48:51,JQ,3681,L,Yes,Least.,KNO,MR.,DOM,327,378,47,24,0,1,22,16,427
2025-04-28,15:03:12,JQ,5615,D,Bas,Many.,DEA,MOS,INT,378,342,45,7,11,2,46,6,161
2025-04-24,07:18:11,JQ,4557,L,Wee,Most.,CEL,WIL,INT,260,306,7,15,21,3,21,8,117
2025-08-08,12:05:29,JQ,5955,D,Poo,Yard.,TRY,ITE,DOM,238,87,21,6,25,10,29,10,360
2025-09-15,12:32:25,JQ,242,L,Rul,Loss.,PLA,FAR,DOM,343,20,49,15,23,9,33,13,303
2025-03-18,15:47:22,JQ,3153,D,Bor,Gun.,WIL,LOS,DOM,303,458,11,21,7,5,42,15,330
2025-02-21,08:34:30,JQ,2512,L,Sel,Base.,TUR,WEL,DOM,279,364,32,0,15,5,13,3,477
2025-06-09,13:04:39,JQ,9671,L,Tha,Also.,FEE,ON.,INT,482,489,31,20,1,0,17,6,380
2025-12-27,00:52:11,JQ,6428,D,Pla,Or.,USE,EDG,INT,344,339,32,22,17,1,9,2,332
2025-10-28,03:36:53,JQ,3414,D,Cos,Deal.,MOR,BOR,DOM,138,412,28,6,3,1,45,20,128
2025-03-20,22:12:59,JQ,5465,L,Tes,Them.,SKI,TAS,INT,458,456,34,12,9,9,34,4,205
2025-11-03,03:42:48,JQ,2664,D,Sam,Of.,MUC,SIT,INT,108,133,14,16,25,0,46,20,474
2025-11-10,10:01:46,JQ,2980,L,Cup,A.,WHO,BEA,DOM,486,142,48,19,9,0,43,1,91
2025-04-27,05:35:06,JQ,1665,L,Fou,Same.,WHA,SEA,INT,163,425,2,12,14,6,14,6,230
2025-01-04,22:39:42,JQ,3892,L,Sam,Kind.,GIR,BAB,INT,224,425,16,7,9,5,41,10,444
2025-07-03,05:03:57,JQ,3253,D,Thu,Cup.,INT,LIN,DOM,416,462,42,5,25,9,19,17,455
2025-02-25,17:01:36,JQ,7622,D,Bac,All.,BOO,CAS,INT,376,442,29,3,13,8,43,0,26
2025-08-03,21:34:05,JQ,7532,L,Fin,Which.,EYE,BAL,DOM,404,209,45,5,16,3,15,16,479
2025-08-18,07:24:17,JQ,5597,L,Eve,Scene.,MIS,EAS,INT,447,81,2,16,11,1,30,15,25
